class,subject,Topic,ebook,videos
X,Maths,Pair of Linear Equations in Two Vriables,,3Linear Equation.swf
X,Maths,Quadratic Equations,,4Quadratic Equation.swf
X,Maths,Arithmetic Progressions,,5ARITHMETIC PROGRESSION.swf
X,Maths,Triangles,,6Triangle.swf
X,Maths,Coordinate Geometry,,7Coordinate Geometry.swf
X,Maths,Introduction to Trignometry,,8Trigonometry.swf
X,Maths,Some Applications of Trignometry,,9Height & Distances.swf
X,Maths,Circles,,10Circle.swf
X,Maths,Areas related to circles,,12AREAS RELATED TO CIRCLE.swf
X,Maths,Surface Areas and Volumes,,13Surface Areas and Volumes.swf
X,Maths,Statistics,,14STATISTICS.swf
X,Maths,Probability,,15PROBABILITY.swf
